Source ID,Target ID,SourceName,TargeName,Source Name Change,Target Name Change,Source Cluster,Target Cluster,Source Jurisdiction,Target Jurisdiction,Source Type,Target Type
41,53,Gamma Group International SAL ,Gamma Group International Limited > Mindstone International LTD,Unchanged,Changed,Gamma Group,Gamma Group,Lebanon ,British Virgin Islands,Vendor,Holding Company
41,54,Gamma Group International SAL ,FinFisher Limited ,Unchanged,Unchanged,Gamma Group,Gamma Group,Lebanon ,United Kingdom,Vendor,Holding Company
41,55,Gamma Group International SAL ,FinFisher Holding GmbH > Vilicius Holdings GmbH,Unchanged,Changed,Gamma Group,Gamma Group,Lebanon ,Germany,Vendor,Holding Company
41,56,Gamma Group International SAL ,AURELIUS Gamma International GmbH,Unchanged,Unchanged,Gamma Group,Gamma Group,Lebanon ,Germany,Vendor,Investor
57,63,Nexa Technologies > RB 42,Trovicor fz/Trovicor Intelligence,Changed,Unchanged,Intellexa Consortium,Intellexa Consortium,France,United Arab Emirates,Partner,Partner
57,59,Nexa Technologies > RB 42,Advanced Middle East Systems ,Changed,Unchanged,Intellexa Consortium,Intellexa Consortium,France,United Arab Emirates,Partner,Partner
57,60,Nexa Technologies > RB 42,Nexa Technologies CZ s.r.o. > Setco Technology Solutions Ltd,Changed,Changed,Intellexa Consortium,Intellexa Consortium,France,Czech Republic,Partner,Partner
61,58,Cytrox AD,WS Wispear Systems Limited > Passitora Ltd,Unchanged,Changed,Intellexa Consortium,Intellexa Consortium,North Macedonia,Cyprus,Vendor,Partner
61,67,Cytrox AD,Cytrox Holdings Zrt,Unchanged,Unchanged,Intellexa Consortium,Intellexa Consortium,North Macedonia,Hungary,Vendor,Holding Company
61,66,Cytrox AD,Cytrox Software Ltd > Peterbald Ltd,Unchanged,Changed,Intellexa Consortium,Intellexa Consortium,North Macedonia,Israel,Vendor,Holding Company
61,68,Cytrox AD,Cytrox EMEA Ltd > Balinese Ltd,Unchanged,Changed,Intellexa Consortium,Intellexa Consortium,North Macedonia,Israel,Vendor,Holding Company
